Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.38     0.00    20000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      4.38     0.00    20000     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      4.38     0.00    20000     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  0.00      4.38     0.00    20000     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      4.38     0.00    20000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      4.38     0.00      952     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      4.38     0.00      636     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      4.38     0.00      480     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      4.38     0.00      194     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      4.38     0.00      192     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      4.38     0.00      192     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      4.38     0.00      168     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      4.38     0.00      157     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
  0.00      4.38     0.00      157     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      4.38     0.00      156     0.00     0.00  std::deque<int, std::allocator<int> >::size() const
  0.00      4.38     0.00      156     0.00     0.00  std::deque<int, std::allocator<int> >::max_size() const
  0.00      4.38     0.00      156     0.00     0.00  std::deque<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      4.38     0.00      156     0.00     0.00  std::deque<int, std::allocator<int> >::_M_pop_back_aux()
  0.00      4.38     0.00      156     0.00     0.00  void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&)
  0.00      4.38     0.00      156     0.00     0.00  std::deque<int, std::allocator<int> >::_M_reserve_map_at_back(unsigned long)
  0.00      4.38     0.00      156     0.00     0.00  std::operator-(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      4.38     0.00       38     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      4.38     0.00       36     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      4.38     0.00       34     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      4.38     0.00       34     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      4.38     0.00       34     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      4.38     0.00       34     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      4.38     0.00       34     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      4.38     0.00       23     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      4.38     0.00       19     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      4.38     0.00       19     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      4.38     0.00       17     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      4.38     0.00       17     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      4.38     0.00       17     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      4.38     0.00       15     0.00     0.00  int** std::__niter_base<int**>(int**)
  0.00      4.38     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.00      4.38     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
  0.00      4.38     0.00       12     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.00      4.38     0.00       12     0.00     0.00  std::allocator<int*>::allocator<int>(std::allocator<int> const&)
  0.00      4.38     0.00       12     0.00     0.00  std::allocator<int*>::~allocator()
  0.00      4.38     0.00       10     0.00     0.00  int** std::__miter_base<int**>(int**)
  0.00      4.38     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<int*>::deallocate(int**, unsigned long)
  0.00      4.38     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<int*>::allocate(unsigned long, void const*)
  0.00      4.38     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::~new_allocator()
  0.00      4.38     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<int*>::_M_max_size() const
